date,open,high,low,close,volume
2022-07-22,265.24,265.33,259.07,260.36,21881300
2022-07-25,261.0,261.5,256.81,258.83,21056000
2022-07-26,259.86,259.88,249.57,251.9,39348000
2022-07-27,261.16,270.05,258.85,268.74,45994049
2022-07-28,269.75,277.84,267.87,276.41,33459327
2022-07-29,277.7,282.0,276.63,280.74,32152800
2022-08-01,277.82,281.28,275.84,278.01,21539600
2022-08-02,276.0,277.89,272.38,274.82,22754200
2022-08-03,276.76,283.5,276.61,282.47,23518900
2022-08-04,281.8,283.8,280.17,283.65,18098700
2022-08-05,279.15,283.65,278.68,282.91,16774606
2022-08-08,284.05,285.92,279.32,280.32,18757818
2022-08-09,279.64,283.08,277.61,282.3,23405238
2022-08-10,288.17,289.81,286.94,289.16,24687845
2022-08-11,290.85,291.21,286.51,287.02,20065938
2022-08-12,288.48,291.91,286.94,291.91,22619700
2022-08-15,291.0,294.18,290.11,293.47,18085700
2022-08-16,291.99,294.04,290.42,292.71,18102900
2022-08-17,289.74,293.35,289.47,291.32,18253400
2022-08-18,290.19,291.91,289.08,290.17,17186200
2022-08-19,288.9,289.25,285.56,286.15,20570033
2022-08-22,282.08,282.46,277.22,277.75,25061100
2022-08-23,276.44,278.86,275.4,276.44,17527409
2022-08-24,275.41,277.23,275.11,275.79,18137019
2022-08-25,277.33,279.02,274.52,278.85,16583407
2022-08-26,279.08,280.34,267.98,268.09,27549307
2022-08-29,265.85,267.4,263.85,265.23,20338544
2022-08-30,266.67,267.05,260.66,262.97,22767100
2022-08-31,265.39,267.11,261.33,261.47,24791834
2022-09-01,258.87,260.89,255.41,260.4,23263431
2022-09-02,261.7,264.74,254.47,256.06,22855400
2022-09-06,256.2,257.83,251.94,253.25,21328242
2022-09-07,254.7,258.83,253.22,258.09,24126700
2022-09-08,257.51,260.43,254.79,258.52,20319911
2022-09-09,260.5,265.23,260.29,264.46,22093190
2022-09-12,265.78,267.45,265.16,266.65,18747700
2022-09-13,258.84,260.4,251.59,251.99,33353318
2022-09-14,253.53,254.23,249.86,252.22,23913000
2022-09-15,249.77,251.4,244.02,245.38,31530948
2022-09-16,244.26,245.3,242.06,244.74,39791800
2022-09-19,242.47,245.14,240.85,244.52,26826931
2022-09-20,242.07,243.51,239.64,242.45,26660300
2022-09-21,244.27,247.66,238.9,238.95,28625600
2022-09-22,237.87,243.86,237.57,240.98,31061200
2022-09-23,239.54,241.13,235.2,237.92,34176048
2022-09-26,237.05,241.45,236.9,237.45,27694200
2022-09-27,239.98,241.8,234.5,236.41,27018732
2022-09-28,236.81,242.33,234.73,241.07,29029700
2022-09-29,238.89,239.95,234.41,237.5,27484233
2022-09-30,238.29,240.54,232.73,232.9,35694832
2022-10-03,235.41,241.61,234.66,240.74,28880400
2022-10-04,245.09,250.36,244.98,248.88,34888416
2022-10-05,245.99,250.58,244.1,249.2,20347136
2022-10-06,247.93,250.34,246.08,246.79,20239900
2022-10-07,240.9,241.32,233.17,234.24,37769602
2022-10-10,233.05,234.56,226.73,229.25,29743608
2022-10-11,227.62,229.06,224.11,225.41,30474000
2022-10-12,225.4,227.86,223.96,225.75,21903937
2022-10-13,219.85,236.1,219.13,234.24,42551818
2022-10-14,235.54,237.24,228.34,228.56,30198600
2022-10-17,235.82,238.96,235.14,237.53,28142300
2022-10-18,243.24,243.93,235.37,238.5,26329600
2022-10-19,237.04,239.61,234.29,236.48,19985700
2022-10-20,235.77,241.31,234.87,236.15,21811015
2022-10-21,234.74,243.0,234.5,242.12,26299733
2022-10-24,243.76,247.84,241.3,247.25,24911212
2022-10-25,247.26,251.04,245.83,250.66,34775505
2022-10-26,231.17,238.3,230.06,231.32,82684846
2022-10-27,231.04,233.69,225.78,226.75,40424645
2022-10-28,226.24,236.6,226.05,235.87,40647724
2022-10-31,233.76,234.92,231.15,232.13,28357300
2022-11-01,234.6,235.74,227.33,228.17,30592300
2022-11-02,229.46,231.3,220.04,220.1,38407008
2022-11-03,220.09,220.41,213.98,214.25,36633922
2022-11-04,217.55,221.59,213.43,221.39,36789100
2022-11-07,221.99,228.41,221.28,227.87,33498000
2022-11-08,228.7,231.65,225.84,228.87,28192548
2022-11-09,227.37,228.63,224.33,224.51,27852910
2022-11-10,235.43,243.33,235.0,242.98,46268021
2022-11-11,242.99,247.99,241.93,247.11,34620246
2022-11-14,241.99,243.91,239.21,241.55,31123340
2022-11-15,245.66,247.0,240.03,241.97,31390117
2022-11-16,242.79,243.8,240.42,241.73,24093300
2022-11-17,237.78,243.25,237.63,241.68,23123544
2022-11-18,243.51,243.74,239.03,241.22,27613523
2022-11-21,241.43,244.67,241.19,242.05,26394700
2022-11-22,243.59,245.31,240.71,245.03,19665700
2022-11-23,245.11,248.28,244.27,247.58,19508500
2022-11-25,247.31,248.7,246.73,247.49,9200800
2022-11-28,246.08,246.65,240.8,241.76,24810271
2022-11-29,241.4,242.79,238.21,240.33,17956313
2022-11-30,240.57,255.33,239.86,255.14,47594239
2022-12-01,253.87,256.12,250.92,254.69,26041524
2022-12-02,249.82,256.06,249.69,255.02,21528520
2022-12-05,252.01,253.82,248.06,250.2,23435300
2022-12-06,250.82,251.86,243.78,245.12,22463727
2022-12-07,244.83,246.16,242.21,244.37,20481522
2022-12-08,244.84,248.74,243.06,247.4,22611800
2022-12-09,244.7,248.31,244.16,245.42,20609743
2022-12-12,247.45,252.54,247.17,252.51,30665100
2022-12-13,261.69,263.92,253.07,256.92,42196900
2022-12-14,257.13,262.59,254.31,257.22,35410933
