,date,open,high,low,close,volume
521,2021-12-03,4514.54,4662.75,4035.0,4216.93,25879591528
522,2021-12-04,4216.3,4240.0,3575.0,4123.13,38478999182
523,2021-12-05,4123.13,4257.0,4038.13,4203.22,25533062707
524,2021-12-06,4203.22,4380.8,3913.0,4354.22,28229518513
525,2021-12-07,4354.09,4433.99,4260.0,4310.19,22366213354
526,2021-12-08,4310.21,4456.36,4226.88,4440.51,18704315119
527,2021-12-09,4440.94,4490.72,4076.15,4106.06,22296131874
528,2021-12-10,4105.99,4232.38,3889.42,3900.91,28014595631
529,2021-12-11,3899.97,4099.87,3835.0,4091.18,19131502454
530,2021-12-12,4091.17,4186.16,3989.41,4132.92,14057603914
531,2021-12-13,4132.91,4146.1,3660.0,3783.81,23999841386
532,2021-12-14,3784.0,3884.08,3686.49,3860.74,23836759957
533,2021-12-15,3860.72,4097.0,3643.43,4021.53,26411188833
534,2021-12-16,4021.41,4116.39,3952.81,3957.28,19825531254
535,2021-12-17,3957.12,3994.81,3699.0,3876.02,23143541098
536,2021-12-18,3876.37,3999.0,3768.14,3961.92,19530895889
537,2021-12-19,3961.93,4039.73,3886.03,3925.79,16167785597
538,2021-12-20,3925.78,3984.08,3754.8,3946.16,21589690675
539,2021-12-21,3946.59,4063.89,3908.13,4017.11,16388555198
540,2021-12-22,4017.35,4075.0,3933.74,3981.12,13921756199
541,2021-12-23,3980.82,4157.82,3895.7,4113.08,18007273742
542,2021-12-24,4113.64,4138.71,4005.0,4049.65,12769090623
543,2021-12-25,4049.81,4143.13,4021.31,4097.43,10894785525
544,2021-12-26,4098.67,4106.5,4008.01,4065.91,11197244172
545,2021-12-27,4066.14,4128.9,4027.56,4038.64,11424360002
546,2021-12-28,4038.18,4038.68,3760.01,3793.67,17299472803
547,2021-12-29,3793.66,3828.18,3603.0,3630.59,15722555672
548,2021-12-30,3630.18,3769.99,3585.85,3710.02,12925377999
549,2021-12-31,3710.01,3815.04,3619.78,3675.8,14157285268
550,2022-01-01,3675.81,3777.82,3674.02,3765.72,9776191466
551,2022-01-02,3765.98,3855.77,3718.2,3828.87,9881471548
552,2022-01-03,3828.93,3851.66,3681.62,3766.04,12080777893
553,2022-01-04,3766.01,3894.12,3714.22,3785.0,14030925983
554,2022-01-05,3785.0,3848.2,3414.88,3539.0,18061338502
555,2022-01-06,3539.0,3550.02,3300.0,3406.03,24293791313
556,2022-01-07,3405.66,3415.52,3065.0,3198.82,24494179209
557,2022-01-08,3198.96,3247.89,3000.0,3080.48,16037732700
558,2022-01-09,3080.92,3212.46,3057.82,3151.66,12334683863
559,2022-01-10,3151.65,3180.29,2928.69,3083.51,19535744145
560,2022-01-11,3083.51,3265.98,3052.19,3240.83,15211447193
561,2022-01-12,3240.83,3420.08,3206.72,3373.64,16662871689
562,2022-01-13,3373.25,3413.36,3233.67,3241.88,15294466275
563,2022-01-14,3241.6,3346.81,3188.34,3310.45,13562957230
564,2022-01-15,3309.98,3373.56,3260.0,3328.12,9619999078
565,2022-01-16,3327.81,3394.45,3275.0,3349.46,9505934874
566,2022-01-17,3349.88,3360.07,3142.39,3210.98,12344309617
567,2022-01-18,3211.08,3246.2,3083.68,3160.81,13024154091
568,2022-01-19,3160.78,3176.81,3047.0,3085.27,13187424144
569,2022-01-20,3084.49,3273.32,2986.0,3000.94,10645922764
570,2022-01-21,3000.99,3034.7,2467.11,2569.01,26796291874
571,2022-01-22,2568.12,2628.36,2301.6,2411.9,27369692036
572,2022-01-23,2411.91,2551.3,2371.58,2541.19,16481489511
573,2022-01-24,2541.19,2541.74,2159.0,2441.74,28220804648
574,2022-01-25,2441.6,2509.87,2351.18,2460.68,16179776932
575,2022-01-26,2460.4,2724.0,2400.0,2465.0,21229909340
576,2022-01-27,2464.99,2521.96,2315.72,2425.82,16126522783
577,2022-01-28,2425.01,2559.55,2358.63,2546.84,14666227351
578,2022-01-29,2546.84,2640.0,2521.72,2603.74,11172062661
579,2022-01-30,2603.39,2642.0,2542.66,2602.89,9501221177
580,2022-01-31,2602.63,2708.98,2478.31,2689.72,13778234614
581,2022-02-01,2689.87,2815.49,2675.99,2789.66,13194846235
582,2022-02-02,2789.62,2814.1,2613.42,2682.66,13876301217
583,2022-02-03,2683.09,2729.01,2572.66,2697.59,12755505065
584,2022-02-04,2697.59,2999.0,2672.84,2998.19,18987223729
585,2022-02-05,2997.63,3063.48,2957.98,3014.5,13102093957
586,2022-02-06,3014.83,3076.25,2950.26,3058.22,9466018022
587,2022-02-07,3058.21,3199.08,2995.22,3141.89,15197063785
588,2022-02-08,3141.84,3234.67,3027.56,3119.57,17136080906
589,2022-02-09,3119.91,3274.0,3057.16,3246.22,13951308490
590,2022-02-10,3246.28,3284.75,3057.81,3074.85,18629485080
591,2022-02-11,3074.84,3140.86,2879.34,2929.08,16043881065
592,2022-02-12,2929.09,2987.62,2857.11,2919.99,11254355757
593,2022-02-13,2919.86,2955.65,2836.47,2872.84,9054963563
594,2022-02-14,2872.83,2966.53,2830.01,2931.01,12164552172
595,2022-02-15,2931.17,3199.0,2911.87,3186.24,13921257873
596,2022-02-16,3186.24,3190.0,3043.41,3124.45,12352406833
597,2022-02-17,3124.44,3162.35,2853.0,2893.56,15860206214
598,2022-02-18,2894.52,2945.98,2752.67,2780.08,15748173433
599,2022-02-19,2780.05,2833.3,2696.39,2764.44,9774183169
600,2022-02-20,2764.53,2765.24,2575.75,2622.47,11641437834
601,2022-02-21,2622.47,2760.71,2559.77,2569.0,18646392740
602,2022-02-22,2569.6,2667.28,2500.74,2637.98,16360200507
603,2022-02-23,2638.2,2756.9,2576.69,2580.97,13382637240
604,2022-02-24,2580.54,2750.0,2300.0,2597.42,29312342666
605,2022-02-25,2597.39,2837.23,2572.23,2769.52,17208902048
606,2022-02-26,2769.24,2880.0,2728.53,2780.71,11724648351
607,2022-02-27,2780.76,2836.26,2558.48,2618.01,16150857254
608,2022-02-28,2617.79,2960.25,2570.0,2923.08,19266124733
609,2022-03-01,2922.87,3040.7,2855.29,2977.72,18757425786
610,2022-03-02,2977.72,3045.0,2914.9,2948.56,16636517503
611,2022-03-03,2948.58,2972.07,2785.01,2833.66,13091199728
612,2022-03-04,2833.71,2835.95,2575.0,2623.07,14496939024
613,2022-03-05,2623.08,2685.93,2589.93,2665.77,8072368396
614,2022-03-06,2665.94,2677.0,2536.4,2550.77,8872976607
615,2022-03-07,2550.46,2649.81,2445.0,2491.58,14594098731
616,2022-03-08,2491.29,2626.16,2480.33,2576.72,13922922903
617,2022-03-09,2577.11,2774.26,2567.98,2727.6,14173665398
618,2022-03-10,2727.86,2734.33,2553.42,2608.22,13292477213
619,2022-03-11,2608.46,2679.56,2523.28,2556.42,12382419582
620,2022-03-12,2556.39,2617.83,2552.52,2569.3,6532996574
621,2022-03-13,2569.09,2603.56,2492.98,2516.41,8632000379
622,2022-03-14,2516.42,2609.56,2499.0,2590.23,11244398839
623,2022-03-15,2590.12,2670.53,2508.05,2619.15,12861105614
624,2022-03-16,2619.01,2789.58,2604.32,2774.89,17915109769
625,2022-03-17,2775.16,2839.59,2747.77,2814.67,12685265194
626,2022-03-18,2814.62,2987.0,2768.25,2939.17,15830879093
627,2022-03-19,2939.18,2988.89,2895.37,2952.16,11576463120
628,2022-03-20,2952.35,2965.94,2819.18,2862.44,12684727326
629,2022-03-21,2862.44,2965.26,2832.97,2891.08,15206116098
630,2022-03-22,2890.78,3053.98,2887.79,2970.51,16830539230
631,2022-03-23,2970.51,3046.99,2920.64,3038.93,16008767658
632,2022-03-24,3037.82,3130.41,3003.51,3112.52,18070503166
633,2022-03-25,3112.95,3195.0,3076.18,3104.15,17030503831
634,2022-03-26,3103.91,3154.47,3086.2,3146.22,8876420740
635,2022-03-27,3146.33,3299.99,3127.74,3296.29,13431866834
636,2022-03-28,3296.24,3437.24,3275.57,3334.47,20620450770
637,2022-03-29,3334.19,3483.87,3331.23,3401.71,19533323636
638,2022-03-30,3401.7,3448.62,3333.87,3386.68,15302506131
639,2022-03-31,3386.69,3447.03,3260.99,3283.08,17685495686
640,2022-04-01,3283.08,3482.42,3211.66,3456.48,20982988937
641,2022-04-02,3456.25,3532.85,3433.31,3445.38,23571556215
642,2022-04-03,3445.25,3581.6,3413.66,3522.78,15333808649
643,2022-04-04,3522.51,3548.51,3405.79,3520.66,18209969743
644,2022-04-05,3520.5,3555.48,3395.8,3407.0,16681503199
645,2022-04-06,3406.99,3408.0,3161.64,3168.52,25632563639
646,2022-04-07,3168.1,3269.56,3143.07,3227.56,16745496605
647,2022-04-08,3227.26,3313.79,3173.48,3192.54,17557050669
648,2022-04-09,3192.54,3269.74,3181.8,3258.99,9908112156
649,2022-04-10,3259.45,3309.28,3189.92,3203.05,10427054790
650,2022-04-11,3203.05,3214.88,2950.0,2979.55,21891804831
651,2022-04-12,2979.32,3089.87,2950.35,3027.82,20235707410
652,2022-04-13,3028.27,3129.92,2997.5,3119.0,16088473629
653,2022-04-14,3119.01,3145.19,2976.0,3021.78,15821419931
654,2022-04-15,3021.68,3058.99,2993.29,3040.19,11256651536
655,2022-04-16,3040.41,3086.83,3010.67,3060.35,8766710365
656,2022-04-17,3060.35,3082.96,2981.52,2988.4,10463091281
657,2022-04-18,2988.09,3071.26,2880.0,3056.19,18629381299
658,2022-04-19,3055.86,3132.47,3029.58,3102.26,14156035096
659,2022-04-20,3102.44,3169.29,3032.72,3077.06,15547362265
