phase,Unnamed: 0,date,open,high,low,close,volume
,714,2023-05-02,161.88,165.49,158.93,160.31,128259700
,715,2023-05-03,160.01,165.0,159.91,160.61,119728000
,716,2023-05-04,162.71,162.95,159.65,161.2,95108500
,717,2023-05-05,163.97,170.79,163.51,170.06,107440900
,718,2023-05-08,173.72,173.8,169.19,171.79,112249400
,719,2023-05-09,168.95,169.82,166.56,169.15,88965000
,720,2023-05-10,172.55,174.43,166.68,168.54,119840700
,721,2023-05-11,168.7,173.57,166.79,172.08,103889900
,722,2023-05-12,176.07,177.38,167.23,167.98,157577100
,723,2023-05-15,167.66,169.76,164.55,166.35,105592500
,724,2023-05-16,165.65,169.52,164.35,166.52,98288800
,725,2023-05-17,168.41,174.5,167.19,173.86,125473600
,726,2023-05-18,174.22,177.06,172.45,176.89,109520300
,727,2023-05-19,177.17,181.95,176.31,180.14,136024200
,728,2023-05-22,180.7,189.32,180.11,188.87,132001400
,729,2023-05-23,186.2,192.96,185.26,185.77,156952100
,730,2023-05-24,182.23,184.22,178.22,182.9,137605100
,731,2023-05-25,186.54,186.78,180.58,184.47,96870700
,732,2023-05-26,184.62,198.6,184.53,193.17,162061500
,733,2023-05-30,200.1,204.48,197.53,201.16,128818700
,734,2023-05-31,199.78,203.95,195.12,203.93,150711700
,735,2023-06-01,202.59,209.8,199.37,207.52,148029900
,736,2023-06-02,210.15,217.25,209.75,213.97,164129000
,737,2023-06-05,217.8,221.29,214.52,217.61,151143100
,738,2023-06-06,216.14,221.91,212.53,221.31,146911600
,739,2023-06-07,228.0,230.83,223.2,224.57,185710800
,740,2023-06-08,224.22,235.23,223.01,234.86,164489700
,741,2023-06-09,249.07,252.42,242.02,244.4,199882300
,742,2023-06-12,247.94,250.97,244.59,249.83,150337900
,743,2023-06-13,253.51,259.68,251.34,258.71,162384300
,744,2023-06-14,260.17,261.57,250.5,256.79,170575500
,745,2023-06-15,248.4,258.95,247.29,255.9,160171200
,746,2023-06-16,258.92,263.6,257.21,260.54,167563700
,747,2023-06-20,261.5,274.75,261.12,274.45,165611200
